,Coefficient,Model Metrics
AdultWeekday,10.148997958600576,
vertical_drop,4.36425315105702,
SkiableTerrain_ac,2.8922066932817536,
TerrainParks,2.605869221052465,
projectedDaysOpen,2.3218566985441336,
quad,2.212618206502208,
daysOpenLastYear,1.9959484181458496,
LongestRun_mi,1.4334453029467937,
Runs,1.2715397383908877,
Snow Making_ac,1.2475950035464636,
surface,0.8940414887245473,
yearsOpen,0.772128720452602,
clusters,0.5746548332119067,
double,0.5568355877379186,
averageSnowfall,0.4673187100601835,
NightSkiing_ac,0.4543846534183736,
total_chairs,0.43858875758079524,
fastQuads,0.2866768990631654,
triple,0.05248722408151585,
fastEight,1.3322676295501878e-15,
fastSixes,1.1102230246251565e-15,
trams,0.0,
Explained Variance Score,,0.5207137534499506
Mean Absolute Error,,7.643479445610853
Intercept,,56.26961705781139
